Production rate ,Average Size of DRI,Metallization,Temperature before reduction zone (C ),"Temperature after reduction zone (C ) = bottom layer temp 7,10,13,16",Fe,Carbon
176,11.83,92.7,240.6,854,85.5,2.1
180,11.77,92.5,249.8,858,85.5,2.2
179,11.51,92.3,264.2,852,85.1,2.1
177,11.73,92.0,248.9,858,84.7,2.0
176,11.76,92.0,258.4,859,84.6,2.1
179,11.68,92.1,260.6,865,84.9,2.1
173,11.32,91.9,257.5,859,84.9,1.9
176,11.73,92.2,255.5,853,85.0,2.0
178,11.6,91.9,260.4,851,85.0,1.9
176,11.68,91.9,304.5,851,85.1,2.0
180,11.04,92.1,266.4,851,85.1,1.9
181,11.34,91.9,248.7,850,85.1,2.0
181,11.6,91.9,252.7,851,85.1,2.0
181,11.34,92.1,254.0,856,85.0,2.0
179,11.51,92.1,255.4,853,84.9,1.9
180,10.97,92.0,255.8,855,84.8,1.7
180,11.53,92.0,229.8,858,84.8,1.8
180,11.39,92.1,247.7,859,84.9,1.7
180,11.04,91.9,264.5,859,84.8,1.7

